order_id,customer_id,payment,order_date,delivery_date,delivery_time,churn
1,64,30811,2021-08-30,2021-09-24,25 days,0
2,473,50490,2021-02-03,2021-02-13,10 days,1
3,774,46763,2021-10-08,2021-11-03,26 days,0
4,433,39782,2021-05-06,2021-05-19,13 days,1
5,441,14719,2021-03-23,2021-03-24,1 days,1
6,800,16197,2021-09-09,2021-10-05,26 days,0
7,626,37666,2021-04-05,2021-04-11,6 days,1
8,58,28484,2021-04-12,2021-05-01,19 days,0
9,852,12896,2021-05-01,2021-05-11,10 days,1
10,659,21922,2021-10-15,2021-10-16,1 days,0
11,785,36624,2021-06-15,2021-06-30,15 days,1
12,120,55507,2021-06-30,2021-07-11,11 days,1
13,204,57810,2021-10-15,2021-10-31,16 days,0
14,957,21270,2021-03-29,2021-04-12,14 days,1
15,468,15488,2021-09-22,2021-10-08,16 days,0
16,564,36479,2021-07-07,2021-07-08,1 days,1
17,614,51822,2021-02-09,2021-02-11,2 days,1
18,299,22902,2021-01-01,2021-01-03,2 days,1
19,513,56754,2021-08-30,2021-09-10,11 days,0
20,789,45129,2021-01-13,2021-01-20,7 days,1
21,124,11261,2021-04-04,2021-04-17,13 days,1
22,180,36088,2021-05-28,2021-06-09,12 days,1
23,652,45711,2021-05-17,2021-05-22,5 days,1
24,469,14566,2021-09-04,2021-09-20,16 days,0
25,562,47075,2021-07-04,2021-07-08,4 days,1
26,732,15964,2021-04-25,2021-05-04,9 days,0
27,443,35513,2021-05-16,2021-05-28,12 days,0
28,206,29968,2021-08-19,2021-09-04,16 days,1
29,993,57645,2021-03-22,2021-03-28,6 days,1
30,260,59350,2021-07-07,2021-07-26,19 days,1
31,727,15722,2021-03-11,2021-04-05,25 days,0
32,627,24976,2021-06-17,2021-07-14,27 days,0
33,588,52945,2021-07-01,2021-07-07,6 days,1
34,412,36244,2021-05-23,2021-05-30,7 days,1
35,358,49665,2021-08-31,2021-09-07,7 days,0
36,51,32494,2021-08-22,2021-09-04,13 days,1
37,78,53949,2021-07-07,2021-07-18,11 days,1
38,809,46219,2021-02-03,2021-02-19,16 days,1
39,466,23990,2021-02-26,2021-03-20,22 days,1
40,86,56657,2021-01-07,2021-01-19,12 days,1
41,790,53386,2021-01-03,2021-01-09,6 days,1
42,690,33993,2021-07-29,2021-08-02,4 days,0
43,570,22839,2021-07-13,2021-08-03,21 days,1
44,849,17071,2021-09-07,2021-09-22,15 days,0
45,571,21738,2021-05-30,2021-06-21,22 days,1
46,922,25378,2021-06-22,2021-07-04,12 days,0
47,791,35453,2021-04-21,2021-04-23,2 days,1
48,620,31712,2021-04-16,2021-04-23,7 days,1
49,336,24219,2021-01-22,2021-02-13,22 days,1
50,454,50310,2021-09-16,2021-09-18,2 days,0
51,399,18423,2021-02-19,2021-02-26,7 days,1
52,493,32155,2021-10-06,2021-10-29,23 days,0
53,528,10517,2021-04-22,2021-05-02,10 days,0
54,195,13681,2021-04-25,2021-05-17,22 days,1
55,873,55650,2021-04-08,2021-04-25,17 days,1
56,587,17149,2021-01-23,2021-02-18,26 days,1
57,163,41495,2021-02-27,2021-03-13,14 days,0
58,332,42861,2021-02-02,2021-02-10,8 days,1
59,843,21858,2021-01-31,2021-02-27,27 days,1
60,301,31491,2021-02-05,2021-02-28,23 days,1
61,158,42290,2021-04-16,2021-04-28,12 days,1
62,93,37952,2021-07-30,2021-08-13,14 days,1
63,556,27577,2021-02-11,2021-03-08,25 days,0
64,167,23668,2021-01-24,2021-02-15,22 days,1
65,388,22051,2021-06-26,2021-07-22,26 days,1
66,631,42774,2021-08-14,2021-08-22,8 days,1
67,504,52694,2021-05-22,2021-06-17,26 days,1
68,180,20552,2021-02-12,2021-02-18,6 days,1
69,96,40619,2021-03-08,2021-03-28,20 days,0
70,802,11279,2021-05-15,2021-05-26,11 days,1
71,795,20283,2021-02-14,2021-02-16,2 days,1
72,610,40072,2021-03-13,2021-03-16,3 days,1
73,965,16715,2021-07-24,2021-08-19,26 days,1
74,391,39655,2021-02-23,2021-02-27,4 days,1
75,68,16667,2021-08-24,2021-09-15,22 days,0
76,470,22762,2021-06-18,2021-06-26,8 days,1
77,680,56675,2021-04-19,2021-04-29,10 days,1
78,681,58179,2021-05-13,2021-05-29,16 days,1
79,236,54340,2021-03-16,2021-03-25,9 days,1
80,872,59554,2021-04-26,2021-05-20,24 days,1
81,736,30150,2021-06-13,2021-06-15,2 days,1
82,927,32502,2021-02-02,2021-02-27,25 days,1
83,537,39729,2021-06-25,2021-07-01,6 days,1
84,181,43438,2021-08-26,2021-09-20,25 days,0
85,251,43533,2021-03-10,2021-03-22,12 days,1
86,874,27045,2021-08-05,2021-08-11,6 days,1
87,325,32961,2021-06-20,2021-07-16,26 days,1
88,567,10904,2021-07-19,2021-08-15,27 days,1
89,448,29268,2021-10-22,2021-11-16,25 days,0
90,809,11475,2021-06-13,2021-07-07,24 days,1
91,803,16601,2021-09-02,2021-09-15,13 days,0
92,273,37239,2021-01-12,2021-01-30,18 days,1
93,908,52379,2021-10-22,2021-11-11,20 days,0
94,629,47031,2021-03-08,2021-03-26,18 days,0
95,413,52416,2021-01-25,2021-02-05,11 days,1
96,415,12119,2021-06-20,2021-06-30,10 days,0
97,106,17772,2021-03-29,2021-03-31,2 days,1
98,257,44700,2021-04-29,2021-05-08,9 days,1
99,291,26787,2021-09-13,2021-09-25,12 days,0
100,817,57063,2021-03-30,2021-04-16,17 days,1
101,807,25174,2021-01-31,2021-02-27,27 days,1
102,846,41382,2021-05-07,2021-05-26,19 days,1
103,209,49852,2021-06-16,2021-06-24,8 days,1
104,366,11454,2021-06-05,2021-06-23,18 days,1
105,456,46013,2021-06-25,2021-07-14,19 days,1
106,573,12033,2021-03-09,2021-03-28,19 days,1
107,127,58760,2021-01-11,2021-02-03,23 days,1
108,935,52439,2021-03-07,2021-03-28,21 days,1
109,554,12707,2021-04-06,2021-04-29,23 days,1
110,607,15385,2021-09-02,2021-09-06,4 days,0
111,794,34096,2021-03-30,2021-04-14,15 days,1
112,75,46956,2021-02-04,2021-02-17,13 days,1
113,565,49592,2021-03-19,2021-04-08,20 days,1
114,160,49686,2021-08-08,2021-09-02,25 days,1
115,492,12685,2021-04-11,2021-04-22,11 days,1
116,510,15397,2021-04-25,2021-05-20,25 days,1
117,971,58134,2021-01-08,2021-01-23,15 days,1
118,639,37950,2021-02-20,2021-02-22,2 days,1
119,545,19955,2021-04-29,2021-05-06,7 days,1
120,585,53001,2021-06-09,2021-06-14,5 days,1
121,549,27436,2021-04-21,2021-04-23,2 days,0
122,732,29226,2021-04-13,2021-05-04,21 days,0
123,471,17133,2021-03-04,2021-03-22,18 days,1
124,776,43888,2021-07-06,2021-07-15,9 days,0
125,321,29600,2021-10-22,2021-11-03,12 days,0
126,326,29536,2021-01-31,2021-02-20,20 days,1
127,51,43262,2021-04-01,2021-04-11,10 days,1
128,936,17661,2021-10-13,2021-11-09,27 days,0
129,428,42185,2021-05-24,2021-05-27,3 days,1
130,439,12827,2021-06-20,2021-07-15,25 days,1
131,629,52850,2021-09-20,2021-09-24,4 days,0
132,562,10396,2021-04-17,2021-05-01,14 days,1
133,878,43759,2021-07-07,2021-07-17,10 days,1
134,12,39451,2021-06-19,2021-07-01,12 days,1
135,942,53723,2021-05-15,2021-06-02,18 days,1
136,539,35331,2021-09-06,2021-09-08,2 days,0
137,298,58875,2021-10-18,2021-10-20,2 days,0
138,331,50666,2021-02-05,2021-02-10,5 days,0
139,871,11224,2021-06-15,2021-06-28,13 days,1
140,539,35025,2021-04-08,2021-04-13,5 days,0
141,528,40203,2021-08-26,2021-09-13,18 days,0
142,237,53165,2021-06-15,2021-07-12,27 days,1
143,828,37187,2021-02-08,2021-02-11,3 days,0
144,928,15762,2021-05-22,2021-05-28,6 days,1
145,871,26358,2021-02-02,2021-02-10,8 days,1
146,912,22750,2021-08-30,2021-09-26,27 days,0
147,818,20690,2021-09-28,2021-10-16,18 days,0
148,573,14073,2021-01-14,2021-01-24,10 days,1
149,500,31490,2021-03-03,2021-03-14,11 days,1
150,462,34428,2021-06-22,2021-06-27,5 days,1
151,357,24626,2021-08-08,2021-09-01,24 days,1
152,320,24866,2021-03-09,2021-03-12,3 days,1
153,727,49677,2021-10-21,2021-11-17,27 days,0
154,674,49994,2021-10-17,2021-11-07,21 days,0
155,834,11166,2021-06-30,2021-07-18,18 days,1
156,727,37878,2021-07-10,2021-07-29,19 days,0
157,909,17955,2021-04-07,2021-04-17,10 days,1
158,828,14010,2021-07-13,2021-08-04,22 days,0
159,208,12449,2021-09-05,2021-09-13,8 days,0
160,725,41442,2021-07-31,2021-08-06,6 days,1
161,566,45840,2021-03-22,2021-04-11,20 days,0
162,431,20238,2021-04-25,2021-05-05,10 days,1
163,84,11473,2021-06-12,2021-06-17,5 days,0
164,412,26249,2021-05-21,2021-06-03,13 days,1
165,389,28345,2021-06-23,2021-07-20,27 days,1
166,113,11914,2021-07-11,2021-07-14,3 days,1
167,595,44269,2021-06-26,2021-07-18,22 days,1
168,664,51244,2021-01-10,2021-01-27,17 days,0
169,996,22089,2021-03-09,2021-03-12,3 days,0
170,867,28597,2021-08-17,2021-09-03,17 days,1
171,443,19467,2021-09-14,2021-09-16,2 days,0
172,224,47514,2021-01-05,2021-01-27,22 days,1
173,435,30001,2021-06-06,2021-07-01,25 days,1
174,497,46769,2021-02-22,2021-03-17,23 days,0
175,309,57197,2021-03-22,2021-04-16,25 days,1
176,574,28185,2021-09-26,2021-10-04,8 days,0
177,315,11314,2021-08-20,2021-09-01,12 days,1
178,236,31542,2021-02-02,2021-02-08,6 days,1
179,161,52081,2021-06-10,2021-06-27,17 days,1
180,469,14617,2021-05-29,2021-06-22,24 days,0
181,241,23142,2021-01-29,2021-02-13,15 days,1
182,461,33720,2021-02-22,2021-03-04,10 days,1
183,715,51587,2021-10-06,2021-10-12,6 days,0
184,240,48997,2021-09-15,2021-09-29,14 days,0
185,945,46608,2021-04-06,2021-04-20,14 days,1
186,833,24061,2021-09-26,2021-10-14,18 days,0
187,401,15167,2021-01-10,2021-01-19,9 days,0
188,571,41180,2021-04-10,2021-04-22,12 days,1
189,586,41543,2021-07-17,2021-08-08,22 days,1
190,421,28420,2021-02-01,2021-02-17,16 days,1
191,18,31002,2021-01-22,2021-02-15,24 days,1
192,842,30614,2021-02-06,2021-02-19,13 days,1
193,846,54256,2021-06-06,2021-06-07,1 days,1
194,415,21994,2021-10-23,2021-11-03,11 days,0
195,92,41725,2021-04-13,2021-04-17,4 days,1
196,630,48990,2021-10-22,2021-11-16,25 days,0
197,110,23619,2021-04-30,2021-05-01,1 days,1
198,640,29627,2021-08-31,2021-09-13,13 days,0
199,206,58054,2021-05-17,2021-05-18,1 days,1
200,15,50335,2021-08-24,2021-09-07,14 days,1
201,325,56321,2021-05-26,2021-06-18,23 days,1
202,129,49559,2021-04-15,2021-04-22,7 days,0
203,369,40129,2021-06-21,2021-07-11,20 days,1
204,568,35005,2021-09-30,2021-10-10,10 days,0
205,267,23779,2021-02-03,2021-02-04,1 days,1
206,654,24189,2021-06-01,2021-06-16,15 days,1
207,644,57755,2021-09-25,2021-09-28,3 days,0
208,28,39533,2021-10-10,2021-10-15,5 days,0
209,292,36341,2021-05-08,2021-05-20,12 days,1
210,723,21903,2021-07-22,2021-08-18,27 days,1
211,515,37122,2021-05-09,2021-05-17,8 days,0
212,62,29887,2021-10-14,2021-11-08,25 days,0
213,678,37684,2021-09-14,2021-09-27,13 days,0
214,288,25179,2021-06-20,2021-07-09,19 days,1
215,526,27531,2021-08-10,2021-08-20,10 days,0
216,865,56745,2021-04-16,2021-05-04,18 days,1
217,234,47120,2021-07-18,2021-07-31,13 days,1
218,606,22309,2021-07-12,2021-07-20,8 days,1
219,667,14137,2021-01-05,2021-01-10,5 days,1
220,555,23957,2021-10-10,2021-10-25,15 days,0
221,473,49366,2021-08-03,2021-08-17,14 days,1
222,368,28754,2021-09-08,2021-10-05,27 days,0
223,657,13441,2021-03-23,2021-03-30,7 days,1
224,628,20293,2021-07-07,2021-08-02,26 days,1
225,664,27059,2021-10-04,2021-10-26,22 days,0
226,28,44799,2021-07-09,2021-07-23,14 days,0
227,406,36809,2021-10-23,2021-11-19,27 days,0
228,773,10857,2021-01-06,2021-01-17,11 days,1
229,107,15827,2021-10-08,2021-10-20,12 days,0
230,497,54581,2021-08-31,2021-09-18,18 days,0
231,731,58824,2021-03-20,2021-04-09,20 days,1
232,256,44567,2021-05-02,2021-05-16,14 days,1
233,996,29939,2021-09-03,2021-09-19,16 days,0
234,133,26314,2021-09-18,2021-10-10,22 days,0
235,767,23434,2021-09-28,2021-10-12,14 days,0
236,228,49109,2021-07-15,2021-08-08,24 days,1
237,829,20267,2021-03-16,2021-04-06,21 days,1
238,328,59828,2021-03-17,2021-03-27,10 days,0
239,530,45974,2021-10-13,2021-11-02,20 days,0
240,578,37612,2021-01-27,2021-02-01,5 days,1
241,401,33692,2021-07-22,2021-08-17,26 days,0
242,909,12202,2021-08-25,2021-09-13,19 days,1
243,263,31631,2021-07-06,2021-07-11,5 days,1
244,637,18966,2021-09-02,2021-09-09,7 days,0
245,191,49443,2021-05-06,2021-05-10,4 days,1
246,641,39230,2021-06-19,2021-07-16,27 days,1
247,68,39513,2021-10-19,2021-11-12,24 days,0
248,457,29329,2021-01-15,2021-01-20,5 days,1
249,86,47181,2021-05-13,2021-05-26,13 days,1
250,518,18564,2021-03-26,2021-04-03,8 days,1
251,433,30132,2021-07-31,2021-08-27,27 days,1
252,683,11465,2021-01-11,2021-02-05,25 days,1
253,179,38502,2021-09-10,2021-10-02,22 days,0
254,571,57662,2021-08-07,2021-09-03,27 days,1
255,605,16272,2021-09-26,2021-10-15,19 days,0
256,313,15452,2021-08-09,2021-08-12,3 days,1
257,914,43972,2021-02-12,2021-03-02,18 days,1
258,742,38266,2021-10-21,2021-11-13,23 days,0
259,878,47527,2021-08-16,2021-09-07,22 days,1
260,317,56068,2021-07-13,2021-07-25,12 days,1
261,250,55396,2021-02-06,2021-03-01,23 days,1
262,812,55461,2021-05-22,2021-05-24,2 days,1
263,372,12599,2021-06-19,2021-07-08,19 days,1
264,636,55537,2021-06-13,2021-06-18,5 days,1
265,189,40896,2021-07-04,2021-07-29,25 days,0
266,623,58746,2021-03-10,2021-03-20,10 days,0
267,34,44791,2021-09-11,2021-09-12,1 days,0
268,530,57006,2021-03-16,2021-04-10,25 days,0
269,89,21446,2021-02-05,2021-02-22,17 days,1
270,711,14024,2021-03-02,2021-03-27,25 days,1
271,469,39282,2021-06-07,2021-06-09,2 days,0
272,92,19661,2021-01-20,2021-01-31,11 days,1
273,828,13233,2021-10-07,2021-11-03,27 days,0
274,19,50173,2021-04-13,2021-04-27,14 days,1
275,329,17666,2021-01-05,2021-01-15,10 days,1
276,775,48376,2021-06-20,2021-06-24,4 days,1
277,659,48337,2021-04-05,2021-04-06,1 days,0
278,510,19930,2021-01-30,2021-02-13,14 days,1
279,620,51563,2021-07-25,2021-07-28,3 days,1
280,551,20352,2021-01-07,2021-01-08,1 days,1
281,489,19908,2021-07-03,2021-07-15,12 days,1
282,423,41504,2021-03-30,2021-04-18,19 days,1
283,303,14784,2021-09-04,2021-09-15,11 days,0
284,522,36627,2021-04-29,2021-05-16,17 days,1
285,882,41206,2021-09-25,2021-10-20,25 days,0
286,998,18840,2021-01-05,2021-01-08,3 days,1
287,799,10368,2021-09-09,2021-10-03,24 days,0
288,201,36160,2021-10-13,2021-10-16,3 days,0
289,977,10046,2021-01-26,2021-02-16,21 days,1
290,364,48707,2021-08-01,2021-08-16,15 days,1
291,112,50830,2021-01-12,2021-02-05,24 days,1
292,337,36699,2021-03-26,2021-04-04,9 days,1
293,426,32389,2021-08-05,2021-08-13,8 days,1
294,499,50667,2021-08-28,2021-09-15,18 days,0
295,412,55019,2021-03-05,2021-03-19,14 days,1
296,207,47076,2021-10-22,2021-10-25,3 days,0
297,256,23789,2021-06-15,2021-06-27,12 days,1
298,58,55984,2021-09-11,2021-09-20,9 days,0
299,994,58159,2021-01-12,2021-02-03,22 days,1
300,912,47255,2021-09-30,2021-10-25,25 days,0
301,535,12986,2021-06-21,2021-06-25,4 days,0
302,156,32298,2021-06-19,2021-07-07,18 days,1
303,758,58670,2021-09-02,2021-09-11,9 days,0
304,537,27293,2021-04-10,2021-05-03,23 days,1
305,234,13377,2021-07-09,2021-07-26,17 days,1
306,747,51492,2021-10-16,2021-10-19,3 days,0
307,679,17726,2021-10-11,2021-10-28,17 days,0
308,549,18834,2021-02-13,2021-03-08,23 days,0
309,390,26229,2021-01-07,2021-01-25,18 days,1
310,348,18372,2021-04-25,2021-05-15,20 days,0
311,807,21226,2021-03-07,2021-03-25,18 days,1
312,683,38591,2021-07-06,2021-07-31,25 days,1
313,266,24507,2021-06-02,2021-06-11,9 days,1
314,95,49262,2021-08-14,2021-08-17,3 days,1
315,239,18075,2021-04-05,2021-04-25,20 days,1
316,179,59876,2021-09-12,2021-09-20,8 days,0
317,876,18204,2021-04-23,2021-04-26,3 days,1
318,433,39332,2021-01-31,2021-02-17,17 days,1
319,933,29837,2021-08-22,2021-09-16,25 days,1
320,41,19693,2021-08-22,2021-09-12,21 days,1
321,833,36589,2021-08-26,2021-08-31,5 days,0
322,686,41400,2021-08-17,2021-09-12,26 days,1
323,852,11437,2021-03-23,2021-04-13,21 days,1
324,99,10411,2021-07-05,2021-07-16,11 days,1
325,318,18010,2021-05-11,2021-05-28,17 days,1
326,199,15380,2021-06-22,2021-07-01,9 days,1
327,710,11611,2021-07-28,2021-07-31,3 days,1
328,246,26653,2021-04-14,2021-05-08,24 days,1
329,820,58708,2021-04-30,2021-05-24,24 days,1
330,887,31700,2021-03-12,2021-04-08,27 days,1
331,414,38796,2021-03-18,2021-03-23,5 days,1
332,466,12799,2021-03-13,2021-03-14,1 days,1
333,367,21091,2021-10-18,2021-11-09,22 days,0
