order_id,customer_id,order_date,delivery_date,delivery_time,payment,churn
1,64,2021-08-30,2021-09-24,25 days,1487.0,0
2,473,2021-02-03,2021-02-13,10 days,1130.0,1
3,774,2021-10-08,2021-11-03,26 days,508.0,0
4,433,2021-05-06,2021-05-19,13 days,976.0,1
5,441,2021-03-23,2021-03-24,1 days,2043.0,1
6,800,2021-09-09,2021-10-05,26 days,732.0,0
7,626,2021-04-05,2021-04-11,6 days,523.0,1
8,58,2021-04-12,2021-05-01,19 days,299.0,0
9,852,2021-05-01,2021-05-11,10 days,1315.0,1
10,659,2021-10-15,2021-10-16,1 days,874.0,0
11,785,2021-06-15,2021-06-30,15 days,461.0,1
12,120,2021-06-30,2021-07-11,11 days,714.0,1
13,204,2021-10-15,2021-10-31,16 days,1583.0,0
14,957,2021-03-29,2021-04-12,14 days,1254.0,1
15,468,2021-09-22,2021-10-08,16 days,1365.0,0
16,564,2021-07-07,2021-07-08,1 days,1786.0,1
17,614,2021-02-09,2021-02-11,2 days,670.0,1
18,299,2021-01-01,2021-01-03,2 days,952.0,1
19,513,2021-08-30,2021-09-10,11 days,1244.0,0
20,789,2021-01-13,2021-01-20,7 days,1557.0,1
21,124,2021-04-04,2021-04-17,13 days,494.0,1
22,180,2021-05-28,2021-06-09,12 days,973.0,1
23,652,2021-05-17,2021-05-22,5 days,563.0,1
24,469,2021-09-04,2021-09-20,16 days,322.0,0
25,562,2021-07-04,2021-07-08,4 days,527.0,1
26,732,2021-04-25,2021-05-04,9 days,614.0,0
27,443,2021-05-16,2021-05-28,12 days,1136.0,0
28,206,2021-08-19,2021-09-04,16 days,2267.0,1
29,993,2021-03-22,2021-03-28,6 days,892.0,1
30,260,2021-07-07,2021-07-26,19 days,1243.0,1
31,727,2021-03-11,2021-04-05,25 days,441.0,0
32,627,2021-06-17,2021-07-14,27 days,742.0,0
33,588,2021-07-01,2021-07-07,6 days,1355.0,1
34,412,2021-05-23,2021-05-30,7 days,709.0,1
35,358,2021-08-31,2021-09-07,7 days,1166.0,0
36,51,2021-08-22,2021-09-04,13 days,1150.0,1
37,78,2021-07-07,2021-07-18,11 days,1415.0,1
38,809,2021-02-03,2021-02-19,16 days,466.0,1
39,466,2021-02-26,2021-03-20,22 days,2066.0,1
40,86,2021-01-07,2021-01-19,12 days,1004.0,1
41,790,2021-01-03,2021-01-09,6 days,525.0,1
42,690,2021-07-29,2021-08-02,4 days,528.0,0
43,570,2021-07-13,2021-08-03,21 days,580.0,1
44,849,2021-09-07,2021-09-22,15 days,716.0,0
45,571,2021-05-30,2021-06-21,22 days,1318.0,1
46,922,2021-06-22,2021-07-04,12 days,768.0,0
47,791,2021-04-21,2021-04-23,2 days,1092.0,1
48,620,2021-04-16,2021-04-23,7 days,436.0,1
49,336,2021-01-22,2021-02-13,22 days,583.0,1
50,454,2021-09-16,2021-09-18,2 days,1371.0,0
51,399,2021-02-19,2021-02-26,7 days,590.0,1
52,493,2021-10-06,2021-10-29,23 days,945.0,0
53,528,2021-04-22,2021-05-02,10 days,573.0,0
54,195,2021-04-25,2021-05-17,22 days,719.0,1
55,873,2021-04-08,2021-04-25,17 days,119.0,1
56,587,2021-01-23,2021-02-18,26 days,1023.0,1
57,163,2021-02-27,2021-03-13,14 days,609.0,0
58,332,2021-02-02,2021-02-10,8 days,467.0,1
59,843,2021-01-31,2021-02-27,27 days,413.0,1
60,301,2021-02-05,2021-02-28,23 days,1093.0,1
61,158,2021-04-16,2021-04-28,12 days,879.0,1
62,93,2021-07-30,2021-08-13,14 days,390.0,1
63,556,2021-02-11,2021-03-08,25 days,807.0,0
64,167,2021-01-24,2021-02-15,22 days,738.0,1
65,388,2021-06-26,2021-07-22,26 days,624.0,1
66,631,2021-08-14,2021-08-22,8 days,2077.0,1
67,504,2021-05-22,2021-06-17,26 days,576.0,1
68,180,2021-02-12,2021-02-18,6 days,526.0,1
69,96,2021-03-08,2021-03-28,20 days,1285.0,0
70,802,2021-05-15,2021-05-26,11 days,100.0,1
71,795,2021-02-14,2021-02-16,2 days,327.0,1
72,610,2021-03-13,2021-03-16,3 days,836.0,1
73,965,2021-07-24,2021-08-19,26 days,1095.0,1
74,391,2021-02-23,2021-02-27,4 days,650.0,1
75,68,2021-08-24,2021-09-15,22 days,893.0,0
76,470,2021-06-18,2021-06-26,8 days,1105.0,1
77,680,2021-04-19,2021-04-29,10 days,2733.0,1
78,681,2021-05-13,2021-05-29,16 days,799.0,1
79,236,2021-03-16,2021-03-25,9 days,771.0,1
80,872,2021-04-26,2021-05-20,24 days,386.0,1
81,736,2021-06-13,2021-06-15,2 days,1099.0,1
82,927,2021-02-02,2021-02-27,25 days,1441.0,1
83,537,2021-06-25,2021-07-01,6 days,408.0,1
84,181,2021-08-26,2021-09-20,25 days,571.0,0
85,251,2021-03-10,2021-03-22,12 days,537.0,1
86,874,2021-08-05,2021-08-11,6 days,200.0,1
87,325,2021-06-20,2021-07-16,26 days,821.0,1
88,567,2021-07-19,2021-08-15,27 days,1370.0,1
89,448,2021-10-22,2021-11-16,25 days,831.0,0
90,809,2021-06-13,2021-07-07,24 days,1397.0,1
91,803,2021-09-02,2021-09-15,13 days,1090.0,0
92,273,2021-01-12,2021-01-30,18 days,1169.0,1
93,908,2021-10-22,2021-11-11,20 days,672.0,0
94,629,2021-03-08,2021-03-26,18 days,1225.0,0
95,413,2021-01-25,2021-02-05,11 days,1710.0,1
96,415,2021-06-20,2021-06-30,10 days,925.0,0
97,106,2021-03-29,2021-03-31,2 days,1474.0,1
98,257,2021-04-29,2021-05-08,9 days,1016.0,1
99,291,2021-09-13,2021-09-25,12 days,1017.0,0
100,817,2021-03-30,2021-04-16,17 days,1709.0,1
101,807,2021-01-31,2021-02-27,27 days,1198.0,1
102,846,2021-05-07,2021-05-26,19 days,327.0,1
103,209,2021-06-16,2021-06-24,8 days,1857.0,1
104,366,2021-06-05,2021-06-23,18 days,1141.0,1
105,456,2021-06-25,2021-07-14,19 days,286.0,1
106,573,2021-03-09,2021-03-28,19 days,810.0,1
107,127,2021-01-11,2021-02-03,23 days,1145.0,1
108,935,2021-03-07,2021-03-28,21 days,2141.0,1
109,554,2021-04-06,2021-04-29,23 days,708.0,1
110,607,2021-09-02,2021-09-06,4 days,818.0,0
111,794,2021-03-30,2021-04-14,15 days,1053.0,1
112,75,2021-02-04,2021-02-17,13 days,1044.0,1
113,565,2021-03-19,2021-04-08,20 days,2316.0,1
114,160,2021-08-08,2021-09-02,25 days,1412.0,1
115,492,2021-04-11,2021-04-22,11 days,594.0,1
116,510,2021-04-25,2021-05-20,25 days,318.0,1
117,971,2021-01-08,2021-01-23,15 days,1183.0,1
118,639,2021-02-20,2021-02-22,2 days,528.0,1
119,545,2021-04-29,2021-05-06,7 days,500.0,1
120,585,2021-06-09,2021-06-14,5 days,1167.0,1
121,549,2021-04-21,2021-04-23,2 days,1416.0,0
122,732,2021-04-13,2021-05-04,21 days,715.0,0
123,471,2021-03-04,2021-03-22,18 days,1867.0,1
124,776,2021-07-06,2021-07-15,9 days,2021.0,0
125,321,2021-10-22,2021-11-03,12 days,205.0,0
126,326,2021-01-31,2021-02-20,20 days,1268.0,1
127,51,2021-04-01,2021-04-11,10 days,1418.0,1
128,936,2021-10-13,2021-11-09,27 days,1718.0,0
129,428,2021-05-24,2021-05-27,3 days,506.0,1
130,439,2021-06-20,2021-07-15,25 days,95.0,1
131,629,2021-09-20,2021-09-24,4 days,948.0,0
132,562,2021-04-17,2021-05-01,14 days,903.0,1
133,878,2021-07-07,2021-07-17,10 days,576.0,1
134,12,2021-06-19,2021-07-01,12 days,1551.0,1
135,942,2021-05-15,2021-06-02,18 days,610.0,1
136,539,2021-09-06,2021-09-08,2 days,807.0,0
137,298,2021-10-18,2021-10-20,2 days,635.0,0
138,331,2021-02-05,2021-02-10,5 days,987.0,0
139,871,2021-06-15,2021-06-28,13 days,761.0,1
140,539,2021-04-08,2021-04-13,5 days,1507.0,0
141,528,2021-08-26,2021-09-13,18 days,805.0,0
142,237,2021-06-15,2021-07-12,27 days,2469.0,1
143,828,2021-02-08,2021-02-11,3 days,1089.0,0
144,928,2021-05-22,2021-05-28,6 days,890.0,1
145,871,2021-02-02,2021-02-10,8 days,978.0,1
146,912,2021-08-30,2021-09-26,27 days,624.0,0
147,818,2021-09-28,2021-10-16,18 days,112.0,0
148,573,2021-01-14,2021-01-24,10 days,1012.0,1
149,500,2021-03-03,2021-03-14,11 days,1039.0,1
150,462,2021-06-22,2021-06-27,5 days,951.0,1
151,357,2021-08-08,2021-09-01,24 days,738.0,1
152,320,2021-03-09,2021-03-12,3 days,1296.0,1
153,727,2021-10-21,2021-11-17,27 days,1579.0,0
154,674,2021-10-17,2021-11-07,21 days,700.0,0
155,834,2021-06-30,2021-07-18,18 days,102.0,1
156,727,2021-07-10,2021-07-29,19 days,997.0,0
157,909,2021-04-07,2021-04-17,10 days,699.0,1
158,828,2021-07-13,2021-08-04,22 days,1226.0,0
159,208,2021-09-05,2021-09-13,8 days,919.0,0
160,725,2021-07-31,2021-08-06,6 days,1498.0,1
161,566,2021-03-22,2021-04-11,20 days,1728.0,0
162,431,2021-04-25,2021-05-05,10 days,1170.0,1
163,84,2021-06-12,2021-06-17,5 days,1724.0,0
164,412,2021-05-21,2021-06-03,13 days,929.0,1
165,389,2021-06-23,2021-07-20,27 days,1085.0,1
166,113,2021-07-11,2021-07-14,3 days,1288.0,1
167,595,2021-06-26,2021-07-18,22 days,566.0,1
168,664,2021-01-10,2021-01-27,17 days,1042.0,0
169,996,2021-03-09,2021-03-12,3 days,2066.0,0
170,867,2021-08-17,2021-09-03,17 days,940.0,1
171,443,2021-09-14,2021-09-16,2 days,1468.0,0
172,224,2021-01-05,2021-01-27,22 days,1649.0,1
173,435,2021-06-06,2021-07-01,25 days,212.0,1
174,497,2021-02-22,2021-03-17,23 days,469.0,0
175,309,2021-03-22,2021-04-16,25 days,1567.0,1
176,574,2021-09-26,2021-10-04,8 days,1027.0,0
177,315,2021-08-20,2021-09-01,12 days,1057.0,1
178,236,2021-02-02,2021-02-08,6 days,295.0,1
179,161,2021-06-10,2021-06-27,17 days,1328.0,1
180,469,2021-05-29,2021-06-22,24 days,897.0,0
181,241,2021-01-29,2021-02-13,15 days,424.0,1
182,461,2021-02-22,2021-03-04,10 days,1929.0,1
183,715,2021-10-06,2021-10-12,6 days,1682.0,0
184,240,2021-09-15,2021-09-29,14 days,640.0,0
185,945,2021-04-06,2021-04-20,14 days,2095.0,1
186,833,2021-09-26,2021-10-14,18 days,1034.0,0
187,401,2021-01-10,2021-01-19,9 days,1195.0,0
188,571,2021-04-10,2021-04-22,12 days,742.0,1
189,586,2021-07-17,2021-08-08,22 days,603.0,1
190,421,2021-02-01,2021-02-17,16 days,321.0,1
191,18,2021-01-22,2021-02-15,24 days,891.0,1
192,842,2021-02-06,2021-02-19,13 days,1870.0,1
193,846,2021-06-06,2021-06-07,1 days,1629.0,1
194,415,2021-10-23,2021-11-03,11 days,1344.0,0
195,92,2021-04-13,2021-04-17,4 days,704.0,1
196,630,2021-10-22,2021-11-16,25 days,1212.0,0
197,110,2021-04-30,2021-05-01,1 days,941.0,1
198,640,2021-08-31,2021-09-13,13 days,693.0,0
199,206,2021-05-17,2021-05-18,1 days,1079.0,1
200,15,2021-08-24,2021-09-07,14 days,1348.0,1
201,325,2021-05-26,2021-06-18,23 days,1045.0,1
202,129,2021-04-15,2021-04-22,7 days,1239.0,0
203,369,2021-06-21,2021-07-11,20 days,941.0,1
204,568,2021-09-30,2021-10-10,10 days,641.0,0
205,267,2021-02-03,2021-02-04,1 days,514.0,1
206,654,2021-06-01,2021-06-16,15 days,1211.0,1
207,644,2021-09-25,2021-09-28,3 days,770.0,0
208,28,2021-10-10,2021-10-15,5 days,1079.0,0
209,292,2021-05-08,2021-05-20,12 days,628.0,1
210,723,2021-07-22,2021-08-18,27 days,651.0,1
211,515,2021-05-09,2021-05-17,8 days,1113.0,0
212,62,2021-10-14,2021-11-08,25 days,1657.0,0
213,678,2021-09-14,2021-09-27,13 days,1437.0,0
214,288,2021-06-20,2021-07-09,19 days,682.0,1
215,526,2021-08-10,2021-08-20,10 days,777.0,0
216,865,2021-04-16,2021-05-04,18 days,835.0,1
217,234,2021-07-18,2021-07-31,13 days,1596.0,1
218,606,2021-07-12,2021-07-20,8 days,645.0,1
219,667,2021-01-05,2021-01-10,5 days,505.0,1
220,555,2021-10-10,2021-10-25,15 days,978.0,0
221,473,2021-08-03,2021-08-17,14 days,1045.0,1
222,368,2021-09-08,2021-10-05,27 days,770.0,0
223,657,2021-03-23,2021-03-30,7 days,1470.0,1
224,628,2021-07-07,2021-08-02,26 days,1022.0,1
225,664,2021-10-04,2021-10-26,22 days,1383.0,0
226,28,2021-07-09,2021-07-23,14 days,1798.0,0
227,406,2021-10-23,2021-11-19,27 days,,0
228,773,2021-01-06,2021-01-17,11 days,998.0,1
229,107,2021-10-08,2021-10-20,12 days,590.0,0
230,497,2021-08-31,2021-09-18,18 days,299.0,0
231,731,2021-03-20,2021-04-09,20 days,771.0,1
232,256,2021-05-02,2021-05-16,14 days,1286.0,1
233,996,2021-09-03,2021-09-19,16 days,979.0,0
234,133,2021-09-18,2021-10-10,22 days,697.0,0
235,767,2021-09-28,2021-10-12,14 days,1291.0,0
236,228,2021-07-15,2021-08-08,24 days,779.0,1
237,829,2021-03-16,2021-04-06,21 days,1046.0,1
238,328,2021-03-17,2021-03-27,10 days,1432.0,0
239,530,2021-10-13,2021-11-02,20 days,618.0,0
240,578,2021-01-27,2021-02-01,5 days,1101.0,1
241,401,2021-07-22,2021-08-17,26 days,642.0,0
242,909,2021-08-25,2021-09-13,19 days,1448.0,1
243,263,2021-07-06,2021-07-11,5 days,419.0,1
244,637,2021-09-02,2021-09-09,7 days,1169.0,0
245,191,2021-05-06,2021-05-10,4 days,1005.0,1
246,641,2021-06-19,2021-07-16,27 days,780.0,1
247,68,2021-10-19,2021-11-12,24 days,693.0,0
248,457,2021-01-15,2021-01-20,5 days,1667.0,1
249,86,2021-05-13,2021-05-26,13 days,1338.0,1
250,518,2021-03-26,2021-04-03,8 days,1032.0,1
251,433,2021-07-31,2021-08-27,27 days,853.0,1
252,683,2021-01-11,2021-02-05,25 days,2597.0,1
253,179,2021-09-10,2021-10-02,22 days,677.0,0
254,571,2021-08-07,2021-09-03,27 days,697.0,1
255,605,2021-09-26,2021-10-15,19 days,565.0,0
256,313,2021-08-09,2021-08-12,3 days,961.0,1
257,914,2021-02-12,2021-03-02,18 days,969.0,1
258,742,2021-10-21,2021-11-13,23 days,1091.0,0
259,878,2021-08-16,2021-09-07,22 days,564.0,1
260,317,2021-07-13,2021-07-25,12 days,1101.0,1
261,250,2021-02-06,2021-03-01,23 days,871.0,1
262,812,2021-05-22,2021-05-24,2 days,796.0,1
263,372,2021-06-19,2021-07-08,19 days,1066.0,1
264,636,2021-06-13,2021-06-18,5 days,1425.0,1
265,189,2021-07-04,2021-07-29,25 days,938.0,0
266,623,2021-03-10,2021-03-20,10 days,1184.0,0
267,34,2021-09-11,2021-09-12,1 days,866.0,0
268,530,2021-03-16,2021-04-10,25 days,220.0,0
269,89,2021-02-05,2021-02-22,17 days,908.0,1
270,711,2021-03-02,2021-03-27,25 days,1178.0,1
271,469,2021-06-07,2021-06-09,2 days,642.0,0
272,92,2021-01-20,2021-01-31,11 days,117.0,1
273,828,2021-10-07,2021-11-03,27 days,735.0,0
274,19,2021-04-13,2021-04-27,14 days,1172.0,1
275,329,2021-01-05,2021-01-15,10 days,1245.0,1
276,775,2021-06-20,2021-06-24,4 days,781.0,1
277,659,2021-04-05,2021-04-06,1 days,1593.0,0
278,510,2021-01-30,2021-02-13,14 days,1054.0,1
279,620,2021-07-25,2021-07-28,3 days,1441.0,1
280,551,2021-01-07,2021-01-08,1 days,517.0,1
281,489,2021-07-03,2021-07-15,12 days,1970.0,1
282,423,2021-03-30,2021-04-18,19 days,1426.0,1
283,303,2021-09-04,2021-09-15,11 days,1747.0,0
284,522,2021-04-29,2021-05-16,17 days,273.0,1
285,882,2021-09-25,2021-10-20,25 days,404.0,0
286,998,2021-01-05,2021-01-08,3 days,1390.0,1
287,799,2021-09-09,2021-10-03,24 days,760.0,0
288,201,2021-10-13,2021-10-16,3 days,1999.0,0
289,977,2021-01-26,2021-02-16,21 days,1963.0,1
290,364,2021-08-01,2021-08-16,15 days,986.0,1
291,112,2021-01-12,2021-02-05,24 days,1378.0,1
292,337,2021-03-26,2021-04-04,9 days,1452.0,1
293,426,2021-08-05,2021-08-13,8 days,1298.0,1
294,499,2021-08-28,2021-09-15,18 days,921.0,0
295,412,2021-03-05,2021-03-19,14 days,313.0,1
296,207,2021-10-22,2021-10-25,3 days,1252.0,0
297,256,2021-06-15,2021-06-27,12 days,1928.0,1
298,58,2021-09-11,2021-09-20,9 days,1226.0,0
299,994,2021-01-12,2021-02-03,22 days,1716.0,1
300,912,2021-09-30,2021-10-25,25 days,204.0,0
301,535,2021-06-21,2021-06-25,4 days,1513.0,0
302,156,2021-06-19,2021-07-07,18 days,385.0,1
303,758,2021-09-02,2021-09-11,9 days,873.0,0
304,537,2021-04-10,2021-05-03,23 days,1538.0,1
305,234,2021-07-09,2021-07-26,17 days,865.0,1
306,747,2021-10-16,2021-10-19,3 days,327.0,0
307,679,2021-10-11,2021-10-28,17 days,874.0,0
308,549,2021-02-13,2021-03-08,23 days,739.0,0
309,390,2021-01-07,2021-01-25,18 days,307.0,1
310,348,2021-04-25,2021-05-15,20 days,1055.0,0
311,807,2021-03-07,2021-03-25,18 days,754.0,1
312,683,2021-07-06,2021-07-31,25 days,2279.0,1
313,266,2021-06-02,2021-06-11,9 days,1755.0,1
314,95,2021-08-14,2021-08-17,3 days,1932.0,1
315,239,2021-04-05,2021-04-25,20 days,501.0,1
316,179,2021-09-12,2021-09-20,8 days,910.0,0
317,876,2021-04-23,2021-04-26,3 days,523.0,1
318,433,2021-01-31,2021-02-17,17 days,402.0,1
319,933,2021-08-22,2021-09-16,25 days,698.0,1
320,41,2021-08-22,2021-09-12,21 days,1417.0,1
321,833,2021-08-26,2021-08-31,5 days,1537.0,0
322,686,2021-08-17,2021-09-12,26 days,1281.0,1
323,852,2021-03-23,2021-04-13,21 days,1754.0,1
324,99,2021-07-05,2021-07-16,11 days,1256.0,1
325,318,2021-05-11,2021-05-28,17 days,452.0,1
326,199,2021-06-22,2021-07-01,9 days,675.0,1
327,710,2021-07-28,2021-07-31,3 days,1384.0,1
328,246,2021-04-14,2021-05-08,24 days,477.0,1
329,820,2021-04-30,2021-05-24,24 days,898.0,1
330,887,2021-03-12,2021-04-08,27 days,1711.0,1
331,414,2021-03-18,2021-03-23,5 days,204.0,1
332,466,2021-03-13,2021-03-14,1 days,,1
333,367,2021-10-18,2021-11-09,22 days,1533.0,0
